,movie_title,review_sentiment,critic_pick
163,The Light Between Oceans,0.1288,True
164,Fatima,0.1144,True
165,Kate Plays Christine,0.010056,False
166,Spa Night,0.08813,True
167,Ben-Hur,0.06226,False
168,The Little Prince,0.0833,True
169,Indignation,0.0759,True
170,Hieronymus Bosch: Touched by the Devil,0.1847,False
171,Don’t Think Twice,0.06726,True
172,Quitters,-0.12085,False
173,Equals,-0.002476,False
174,The Infiltrator,0.01378,False
175,Zero Days,0.07355,True
176,Fathers and Daughters,-0.0083,False
177,The Innocents,0.1037,True
178,Microbe & Gasoline,0.04352,True
179,Bang Gang: A Modern Love Story,0.12036,False
