,title,budget,release_season,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,revenue
48,Coco,175000000,Summer,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,800526015
49,Pirates of the Caribbean: Dead Men Tell No Tales,230000000,Summer,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,794191988
50,Fast & Furious 6,160000000,Summer,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,788679850
51,Deadpool,58000000,Summer,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,783100000
52,Guardians of the Galaxy,170000000,Summer,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,773328629
53,Maleficent,180000000,Summer,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,758539785
54,Shrek Forever After,165000000,Summer,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,752600867
55,The Amazing Spider-Man,215000000,Summer,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,752215857
56,The Hunger Games: Mockingjay - Part 1,125000000,Summer,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,752100229
57,X-Men: Days of Future Past,250000000,Summer,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,747862775
58,Madagascar 3: Europe's Most Wanted,145000000,Summer,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,746921274
59,Suicide Squad,176000000,Summer,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,745600054
60,Monsters University,200000000,Summer,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,743559607
61,Deadpool 2,110000000,Summer,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,734197230
62,Gravity,105000000,Summer,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,716392705
63,Captain America: The Winter Soldier,170000000,Summer,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,714766572
64,The Twilight Saga: Breaking Dawn - Part 1,110000000,Summer,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,712171856
65,Dawn of the Planet of the Apes,170000000,Summer,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,710644566
66,The Amazing Spider-Man 2,200000000,Summer,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,705717432
67,It,35000000,Summer,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,700381748
68,The Twilight Saga: Eclipse,68000000,Summer,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,698491347
69,Mission: Impossible - Ghost Protocol,145000000,Summer,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,694713380
70,The Hunger Games,75000000,Summer,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,691210692
71,Mission: Impossible - Rogue Nation,150000000,Summer,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,682330139
72,Doctor Strange,166000000,Summer,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,677718395
73,Interstellar,165000000,Summer,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,675120017
74,Man of Steel,225000000,Summer,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,668045518
75,Kung Fu Panda 2,150000000,Summer,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,665692281
76,Justice League,500000000,Summer,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,657924295
77,Big Hero 6,165000000,Summer,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,657818612
