,title,budget,release_season,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,revenue
70,Annabelle,6500000,Summer,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,257047661
71,Get Out,4500000,Summer,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,255017329
72,The Hangover Part II,80000000,Summer,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254455986
73,Kung Fu Yoga,65000000,Summer,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,254212245
74,True Grit,38000000,Summer,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,252276927
75,American Hustle,40000000,Summer,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,251171807
76,Cloudy with a Chance of Meatballs 2,78000000,Summer,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,248384621
77,Grown Ups 2,80000000,Summer,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246984278
78,The Peanuts Movie,99000000,Summer,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,246233113
79,Teenage Mutant Ninja Turtles: Out of the Shadows,135000000,Summer,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,245623848
80,Dark Shadows,150000000,Summer,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,245527149
81,After Earth,130000000,Summer,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,243843127
82,Pixels,88000000,Summer,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,243637091
83,Hercules,100000000,Summer,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243400000
84,Daddy's Home,50000000,Summer,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242786137
85,RoboCop,120000000,Summer,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,242688965
86,Assassin's Creed,125000000,Summer,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,240697856
87,Resident Evil: Retribution,65000000,Summer,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,240159255
88,Sully,60000000,Summer,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,238470033
89,Gulliver's Travels,112000000,Summer,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,237382724
90,Silver Linings Playbook,21000000,Summer,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,236412453
91,Spy,65000000,Summer,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235666219
92,American Reunion,50000000,Summer,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234989584
93,Alvin and the Chipmunks: The Road Chip,0,Summer,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,233755553
94,The Imitation Game,14000000,Summer,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,233555708
95,Clash of the Titans,125000000,Summer,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,232713139
96,The Girl with the Dragon Tattoo,90000000,Summer,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,232617430
97,Alien: Covenant,97000000,Summer,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,232380243
98,Argo,44500000,Summer,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,232324128
99,Hidden Figures,25000000,Summer,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,230698791
100,Ghostbusters,144000000,Summer,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,229147509
101,The Green Hornet,120000000,Summer,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227817248
102,Baby Driver,34000000,Summer,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226945087
103,Immortals,75000000,Summer,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,226904017
104,Percy Jackson & the Olympians: The Lightning Thief,95000000,Summer,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,226497209
105,Valerian and the City of a Thousand Planets,177200000,Summer,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,225874228
106,The Social Network,40000000,Summer,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,224920315
107,Hansel & Gretel: Witch Hunters,50000000,Summer,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,224803475
108,Youth,0,Summer,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,224160000
109,Non-Stop,50000000,Summer,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,222809600
110,Geostorm,120000000,Summer,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,221600160
111,Inferno,75000000,Summer,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,220021259
112,Green Lantern,200000000,Summer,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,219851172
113,Planes,50000000,Summer,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,219788712
114,Jack Reacher,60000000,Summer,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,218340595
115,Dracula Untold,10000000,Summer,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,217124280
116,Ted 2,68000000,Summer,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217022588
117,Central Intelligence,50000000,Summer,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,216972543
118,The Emoji Movie,50000000,Summer,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,216909830
